Document,Title,Book,Author,URL,Classification
PRO-21-ENG.txt,Proverbs 21,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/21,Religious
PRO-21-KNJ.txt,Proverbios 21,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/21,Religious
PRO-22-ENG.txt,Proverbs 22,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/22,Religious
PRO-22-KNJ.txt,Proverbios 22,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/22,Religious
PRO-23-ENG.txt,Proverbs 23,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/23,Religious
PRO-23-KNJ.txt,Proverbios 23,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/23,Religious
PRO-24-ENG.txt,Proverbs 24,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/24,Religious
PRO-24-KNJ.txt,Proverbios 24,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/24,Religious
PRO-25-ENG.txt,Proverbs 25,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/25,Religious
PRO-25-KNJ.txt,Proverbios 25,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/25,Religious
PRO-26-ENG.txt,Proverbs 26,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/26,Religious
PRO-26-KNJ.txt,Proverbios 26,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/26,Religious
PRO-27-ENG.txt,Proverbs 27,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/27,Religious
PRO-27-KNJ.txt,Proverbios 27,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/27,Religious
PRO-28-ENG.txt,Proverbs 28,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/28,Religious
PRO-28-KNJ.txt,Proverbios 28,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/28,Religious
PRO-29-ENG.txt,Proverbs 29,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/29,Religious
PRO-29-KNJ.txt,Proverbios 29,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/29,Religious
PRO-3-ENG.txt,Proverbs 3,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/3,Religious
PRO-3-KNJ.txt,Proverbios 3,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/3,Religious
PRO-30-ENG.txt,Proverbs 30,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/30,Religious
PRO-30-KNJ.txt,Proverbios 30,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/30,Religious
PRO-31-ENG.txt,Proverbs 31,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/31,Religious
PRO-31-KNJ.txt,Proverbios 31,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/31,Religious
PRO-4-ENG.txt,Proverbs 4,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/4,Religious
PRO-4-KNJ.txt,Proverbios 4,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/4,Religious
PRO-5-ENG.txt,Proverbs 5,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/5,Religious
PRO-5-KNJ.txt,Proverbios 5,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/5,Religious
PRO-6-ENG.txt,Proverbs 6,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/6,Religious
PRO-6-KNJ.txt,Proverbios 6,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/6,Religious
PRO-7-ENG.txt,Proverbs 7,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/7,Religious
PRO-7-KNJ.txt,Proverbios 7,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/7,Religious
PRO-8-ENG.txt,Proverbs 8,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/8,Religious
PRO-8-KNJ.txt,Proverbios 8,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/8,Religious
PRO-9-ENG.txt,Proverbs 9,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/9,Religious
PRO-9-KNJ.txt,Proverbios 9,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/9,Religious
PSA-1-ENG.txt,Psalm 1,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/1,Religious
PSA-1-KNJ.txt,Salmos 1,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/1,Religious
PSA-10-ENG.txt,Psalm 10,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/10,Religious
PSA-10-KNJ.txt,Salmos 10,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/10,Religious
PSA-100-ENG.txt,Psalm 100,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/100,Religious
PSA-100-KNJ.txt,Salmos 100,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/100,Religious
PSA-101-ENG.txt,Psalm 101,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/101,Religious
PSA-101-KNJ.txt,Salmos 101,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/101,Religious
PSA-102-ENG.txt,Psalm 102,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/102,Religious
PSA-102-KNJ.txt,Salmos 102,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/102,Religious
PSA-103-ENG.txt,Psalm 103,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/103,Religious
PSA-103-KNJ.txt,Salmos 103,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/103,Religious
PSA-104-ENG.txt,Psalm 104,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/104,Religious
PSA-104-KNJ.txt,Salmos 104,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/104,Religious
PSA-105-ENG.txt,Psalm 105,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/105,Religious
PSA-105-KNJ.txt,Salmos 105,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/105,Religious
PSA-106-ENG.txt,Psalm 106,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/106,Religious
PSA-106-KNJ.txt,Salmos 106,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/106,Religious
PSA-107-ENG.txt,Psalm 107,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/107,Religious
PSA-107-KNJ.txt,Salmos 107,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PSA/107,Religious
PSA-108-ENG.txt,Psalm 108,Old Testament (New International Version),,listen.bible.is/ENGNIV/PSA/108,Religious
